Time_s,Sensor0_Raw,Sensor1_Raw,DutyCycle,is_from_callback,Sensor1_Hist_0,Sensor1_Hist_1,Sensor1_Hist_2,Sensor1_Hist_3,Sensor1_Hist_4,Sensor1_Hist_5,Sensor1_Hist_6,Sensor1_Hist_7,Sensor1_Hist_8,Sensor1_Hist_9,DutyCycle_Hist_0,DutyCycle_Hist_1,DutyCycle_Hist_2,DutyCycle_Hist_3,DutyCycle_Hist_4,DutyCycle_Hist_5,DutyCycle_Hist_6,DutyCycle_Hist_7,DutyCycle_Hist_8,DutyCycle_Hist_9
1737354671.287,1.0936,1.0290,110.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0290,1.0290,105.00,105.00,105.00,105.00,105.00,105.00,110.00,110.00,110.00,110.00
1737354671.290,1.0936,1.0290,110.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0290,1.0290,1.0290,105.00,105.00,105.00,105.00,105.00,110.00,110.00,110.00,110.00,110.00
1737354671.293,1.0936,1.0290,110.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0290,1.0290,1.0290,1.0290,105.00,105.00,105.00,105.00,110.00,110.00,110.00,110.00,110.00,110.00
1737354671.307,1.0936,1.0290,110.00,False,1.0258,1.0258,1.0258,1.0258,1.0258,1.0290,1.0290,1.0290,1.0290,1.0290,105.00,105.00,105.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00
1737354671.316,1.0936,1.0290,110.00,False,1.0258,1.0258,1.0258,1.0258,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,105.00,105.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00
1737354671.324,1.0936,1.0258,110.00,False,1.0258,1.0258,1.0258,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0258,105.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00
1737354671.329,1.0936,1.0258,110.00,False,1.0258,1.0258,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0258,1.0258,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00
1737354671.336,1.0936,1.0258,110.00,False,1.0258,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0258,1.0258,1.0258,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00
1737354671.344,1.0936,1.0258,110.00,False,1.0290,1.0290,1.0290,1.0290,1.0290,1.0290,1.0258,1.0258,1.0258,1.0258,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00
1737354671.353,1.0936,1.0258,110.00,False,1.0290,1.0290,1.0290,1.0290,1.0290,1.0258,1.0258,1.0258,1.0258,1.0258,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00
1737354671.356,1.0936,1.0258,110.00,False,1.0290,1.0290,1.0290,1.0290,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00
1737354671.363,1.0936,1.0258,110.00,False,1.0290,1.0290,1.0290,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00
